ItemID,Name,resourcename,ResourceVariation,Class,Category,BuyCategory,WeaponSlot,Team,UsableMod,UseType,EquipType,ItemType,WaitAfterExpire,RepurchaseDiscountRate,userType
1,#CSO2_ITEM_NAME_p228,p228,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0
2,#CSO2_ITEM_NAME_GLOCK18,glock18,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0
3,#CSO2_ITEM_NAME_scout,scout,default,item,weapon,snip,0,0,0,0,0,0,5,0,0
4,#CSO2_ITEM_NAME_hegrenade,hegrenade,default,item,weapon,equip,3,0,0,0,0,0,5,0,0
5,#CSO2_ITEM_NAME_xm1014,xm1014,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0
6,#CSO2_ITEM_NAME_mac10,mac10,default,item,weapon,smg,0,2,0,0,0,0,5,0,0
7,#CSO2_ITEM_NAME_aug,aug,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0
8,#CSO2_ITEM_NAME_smokegrenade,smokegrenade,default,item,weapon,equip,4,0,1|2|4|5|7|8|9|10|11|12|13|14|15|16|17|22|29|30|49|55|58,0,0,0,5,0,0
9,#CSO2_ITEM_NAME_elites,elites,default,item,weapon,pistol,1,2,0,0,0,0,5,0,0
10,#CSO2_ITEM_NAME_fiveseven,fiveseven,default,item,weapon,pistol,1,3,0,0,0,0,5,0,0
11,#CSO2_ITEM_NAME_UMP45,ump45,default,item,weapon,smg,0,0,0,0,0,0,5,0,0
12,#CSO2_ITEM_NAME_sg550,sg550,default,item,weapon,snip,0,3,0,0,0,0,5,0,0
13,#CSO2_ITEM_NAME_galil,galil,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0
14,#CSO2_ITEM_NAME_famas,famas,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0
15,#CSO2_ITEM_NAME_usp,usp45,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0
16,#CSO2_ITEM_NAME_awp,awp,default,item,weapon,snip,0,0,0,0,0,0,5,0,0
17,#CSO2_ITEM_NAME_mp5,mp5,default,item,weapon,smg,0,0,0,0,0,0,5,0,0
18,#CSO2_ITEM_NAME_M249,m249,default,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0
19,#CSO2_ITEM_NAME_m3,m3,default,item,weapon,shotgun,0,0,0,0,0,0,5,0,0
20,#CSO2_ITEM_NAME_m4a1,m4a1,default,item,weapon,rifle,0,3,0,0,0,0,5,0,0
21,#CSO2_ITEM_NAME_tmp,tmp,default,item,weapon,smg,0,3,0,0,0,0,5,0,0
22,#CSO2_ITEM_NAME_g3sg1,g3sg1,default,item,weapon,snip,0,2,0,0,0,0,5,0,0
23,#CSO2_ITEM_NAME_flashbang,flashbang,default,item,weapon,equip,5,0,1|4|12|14|15|17|22|29|30|49|55|58|68,0,0,0,5,0,0
24,#CSO2_ITEM_NAME_deserteagle,deserteagle,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0
25,#CSO2_ITEM_NAME_sg552,sg552,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0
26,#CSO2_ITEM_NAME_ak47,ak47,default,item,weapon,rifle,0,2,0,0,0,0,5,0,0
27,#CSO2_ITEM_NAME_KNIFE,default_knife,default,item,weapon,knife,2,0,0,0,0,0,5,0,0
28,#CSO2_ITEM_NAME_p90,p90,default,item,weapon,smg,0,0,0,0,0,0,5,0,0
29,#CSO2_ITEM_NAME_FNC,fnc,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0
30,#CSO2_ITEM_NAME_ANACONDA,anaconda,default,item,weapon,pistol,1,0,0,0,0,0,5,0,0
31,#CSO2_ITEM_NAME_MP7,mp7,default,item,weapon,smg,0,0,0,0,0,0,5,0,0
32,#CSO2_ITEM_NAME_F2000,f2000,default,item,weapon,rifle,0,0,0,0,0,0,5,0,0
33,#CSO2_ITEM_NAME_CROWBAR,crowbar,default,item,weapon,knife,2,0,0,0,0,0,5,0,0
34,#CSO2_ITEM_NAME_defusekit,defusekit,default,item,weapon,equip,-1,3,1|4|11|12|13|14|29|49|55|58,0,0,0,5,0,0
35,#CSO2_ITEM_NAME_nightvision,nightvision,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0
36,#CSO2_ITEM_NAME_kevlar,kevlarvest,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0
37,#CSO2_ITEM_NAME_kevlarhelmet,kevlarvesthelmet,default,item,weapon,equip,-1,0,0,0,0,0,5,0,0
