itemid,price,currency,count,day
2001,40000,1,1,0
55001,5000,1,1,0
55003,5000,1,1,0
55004,5000,1,1,0
100027,480000,1,1,0
100034,480000,1,1,0
55005,5000,1,1,0
55007,5000,1,1,0
137,60000,1,1,3
137,120000,1,1,7
2033,5000,1,1,0
2020,500,1,1,0
2020,5000,1,10,0
2020,15000,1,30,0
2019,500,1,1,0
2019,5000,1,10,0
2019,15000,1,30,0
2021,4000,1,1,1
2021,8000,1,1,3
2021,15000,1,1,7
2022,4000,1,1,1
2022,8000,1,1,3
2022,15000,1,1,7
2023,4000,1,1,1
2023,8000,1,1,3
2023,15000,1,1,7
50036,100,1,1,0
50036,1000,1,10,0
50036,3000,1,30,0
100060,8000,1,1,0
100061,60000,1,1,0
100062,290000,1,1,0
100063,480000,1,1,0
100078,8000,1,1,0
100079,60000,1,1,0
100080,290000,1,1,0
100081,480000,1,1,0
200019,100000,1,1,0
100090,8000,1,1,0
100091,60000,1,1,0
100092,290000,1,1,0
100093,480000,1,1,0
5000081,30000,1,1,3
5000081,60000,1,1,7
5000081,120000,1,1,15
5000078,64000,1,1,7
5000079,64000,1,1,7
5000080,64000,1,1,7
5000060,10000,1,1,1
5000060,100000,1,1,10
5000060,300000,1,1,30
5370,60000,1,1,7
100048,8000,1,1,0
100049,60000,1,1,0
100050,290000,1,1,0
100051,480000,1,1,0
100056,8000,1,1,0
100057,60000,1,1,0
100058,290000,1,1,0
100059,480000,1,1,0
51000,100,1,1,0
51000,1000,1,10,0
51000,3000,1,30,0
30021,15000,1,1,7
157,20000,1,1,1
157,50000,1,1,3
157,80000,1,1,7
105,20000,1,1,1
105,50000,1,1,3
105,80000,1,1,7
106,15000,1,1,1
106,40000,1,1,3
106,70000,1,1,7
200018,83500,1,1,0
50005,100,1,1,0
50005,1000,1,10,0
50005,3000,1,30,0
5330,15000,1,1,1
5330,40000,1,1,3
5330,75000,1,1,7
200016,75500,1,1,0
200017,75500,1,1,0
200015,55500,1,1,0
200013,85800,1,1,0
100076,28000,1,1,0
100077,28000,1,1,0
100035,93500,1,1,0
1024,40000,1,1,3
1024,80000,1,1,10
1025,45000,1,1,3
1025,72000,1,1,10
5299,45000,1,1,3
5299,72000,1,1,10
42001,8000,1,1,7
42002,8000,1,1,7
42003,8000,1,1,7
42004,8000,1,1,7
42005,8000,1,1,7
42006,8000,1,1,7
42007,8000,1,1,7
42008,8000,1,1,7
42009,8000,1,1,7
42010,8000,1,1,7
10096,6000,1,1,3
10097,6000,1,1,3
10087,6000,1,1,3
10088,6000,1,1,3
10082,6000,1,1,3
10083,6000,1,1,3
10084,6000,1,1,3
114,36000,1,1,7
100031,56000,1,1,0
100037,120000,1,1,0
51004,100,1,1,0
51004,1000,1,10,0
51004,3000,1,30,0
50023,100,1,1,0
50023,1000,1,10,0
50023,3000,1,30,0
93,86000,1,1,3
94,86000,1,1,3
10070,6000,1,1,3
10069,6000,1,1,3
10074,6000,1,1,3
5000075,8000,1,1,3
5000076,8000,1,1,3
103,50000,1,1,7
50024,100,1,1,0
50024,1000,1,10,0
50024,3000,1,30,0
50026,100,1,1,0
50026,1000,1,10,0
50026,3000,1,30,0
50029,100,1,1,0
50029,1000,1,10,0
50029,3000,1,30,0
5000085,8000,1,1,3
5000086,8000,1,1,3
50041,100,1,1,0
50041,1000,1,10,0
50041,3000,1,30,0
150038,9000,1,1,3
150038,25000,1,1,7
150014,9000,1,1,3
150014,25000,1,1,7
20052,4000,1,1,1
20052,8000,1,1,3
20052,15000,1,1,7
10062,4000,1,1,1
10062,8000,1,1,3
10062,15000,1,1,7
5000063,3000,1,1,3
5000063,6000,1,1,7
5000064,10000,1,1,1
5000064,90000,1,1,10
5000064,280000,1,1,30
