boxid,boxname,itemid,itemname,value,keyid,day
50003,红色箱子,1020,choi01,1,0,0
50003,红色箱子,1021,yuri01,1,0,30
50003,红色箱子,5257,k5_opal1,1,0,0
50003,红色箱子,5258,K1_opal1,1,0,0
50003,红色箱子,5259,k2c_opal1,1,0,0
50003,红色箱子,5260,k12_opal1,1,0,0
50003,红色箱子,5261,usas12_opal1,1,0,0
50003,红色箱子,10052,HEAD_2015sheep,3,0,7
50003,红色箱子,20042,back_2015sheep,3,0,7
50003,红色箱子,30017,glove_2015sheep,3,0,7
50003,红色箱子,10005,HELMET,3,0,7
50003,红色箱子,10047,HEAD_sunglasshat,3,0,7
50003,红色箱子,20035,back_deltabag,3,0,7
50003,红色箱子,20040,back_p77,3,0,7
50003,红色箱子,10049,HEAD_mask_01,3,0,7
50003,红色箱子,10050,HEAD_mask_02,3,0,7
50003,红色箱子,10072,head_head_rokahat,3,0,7
50003,红色箱子,20057,back_rokabag,3,0,7
50003,红色箱子,2019,INSTANT_RESPAWN,15,0,0
50003,红色箱子,2020,HP_POTION,15,0,0
50003,红色箱子,20041,back_turtlebag,6,0,7
50003,红色箱子,20038,back_miladoll,6,0,7
50003,红色箱子,20036,back_lisaboard,6,0,7
50003,红色箱子,20037,back_milaboard,6,0,7
50003,红色箱子,10048,HEAD_boardhelemt,6,0,7
50003,红色箱子,10014,HEADCRAB,6,0,7
50003,红色箱子,20018,VALVE,6,0,7
50003,红色箱子,2008,POINTLOTTO,30,0,0
50003,红色箱子,2014,POINTLOTTO_GOLD,30,0,0
50003,红色箱子,2013,POINTLOTTO_EVENT,30,0,0
51000,红色补给箱,1020,choi01,1,55001,0
51000,红色补给箱,1021,yuri01,1,55001,30
51000,红色补给箱,5257,k5_opal1,1,550010,0
51000,红色补给箱,5258,K1_opal1,1,55001,0
51000,红色补给箱,5259,k2c_opal1,1,55001,0
51000,红色补给箱,5260,k12_opal1,1,55001,0
51000,红色补给箱,5261,usas12_opal1,1,55001,0
51000,红色补给箱,10052,HEAD_2015sheep,3,55001,7
51000,红色补给箱,20042,back_2015sheep,3,55001,7
51000,红色补给箱,30017,glove_2015sheep,3,55001,7
51000,红色补给箱,10005,HELMET,3,55001,7
51000,红色补给箱,10047,HEAD_sunglasshat,3,55001,7
51000,红色补给箱,20035,back_deltabag,3,55001,7
51000,红色补给箱,20040,back_p77,3,55001,7
51000,红色补给箱,10049,HEAD_mask_01,3,55001,7
51000,红色补给箱,10050,HEAD_mask_02,3,55001,7
51000,红色补给箱,10072,head_head_rokahat,3,55001,7
51000,红色补给箱,20057,back_rokabag,3,55001,7
51000,红色补给箱,2019,INSTANT_RESPAWN,15,55001,0
51000,红色补给箱,2020,HP_POTION,15,55001,0
